@relation explaining_humans

@attribute iter integer
@attribute user string
@attribute tf string
@attribute score numeric
@attribute PFdist numeric
@attribute acr numeric
@attribute class {Pareto,Not-Pareto}
@attribute scaled_acr numeric

@data
3,A12FWV00JX3IUZ,ackley,-19.2783909602619,0,-19.2783909602619,Pareto,0.452003374505502
4,A12FWV00JX3IUZ,ackley,-16.8375911803014,0,-18.0579910702816,Pareto,1
5,A12FWV00JX3IUZ,ackley,-20.5092996840038,0,-18.8750939415224,Pareto,0.633095987800339
6,A12FWV00JX3IUZ,ackley,-20.832152895504,0,-19.3643586800178,Pareto,0.413401256696037
7,A12FWV00JX3IUZ,ackley,-19.531280626252,0.133815751574981,-19.3977430692646,Not-Pareto,0.398410651729855
8,A12FWV00JX3IUZ,ackley,-21.2127167717297,0,-19.7002386863421,Pareto,0.262580930057202
9,A12FWV00JX3IUZ,ackley,-21.8571088200902,0.00160391962925388,-20.0083629911633,Not-Pareto,0.124223756592066
10,A12FWV00JX3IUZ,ackley,-21.3320927561716,0,-20.1738292117893,Pareto,0.0499243967831567
11,A12FWV00JX3IUZ,ackley,-21.1744732478336,0,-20.2850118824609,Pareto,0
12,A12FWV00JX3IUZ,ackley,-4.91926143426902,0,-18.7484368376417,Pareto,0.6899688751968
13,A12FWV00JX3IUZ,ackley,-15.4967005891504,0,-18.4528244514152,Pareto,0.822707817109611
14,A12FWV00JX3IUZ,ackley,-20.3155242408131,0,-18.6080494338651,Pareto,0.75300708436346
15,A12FWV00JX3IUZ,ackley,-20.6198079509769,0,-18.7628000890275,Pareto,0.68351933897907
16,A12FWV00JX3IUZ,ackley,-21.0686224976356,0,-18.9275016896424,Pareto,0.609563316783797
17,A12FWV00JX3IUZ,ackley,-21.0050126536638,0,-19.0660024205771,Pareto,0.547372281038948
18,A12FWV00JX3IUZ,ackley,-21.6348332995357,0,-19.226554350512,Pareto,0.475279587043061
19,A12FWV00JX3IUZ,ackley,-21.5360015042866,0,-19.362404183087,Pareto,0.414278885194191
3,A12FWV00JX3IUZ,beale,-9.01547034219571,12.9868887338469,-9.01547034219571,Not-Pareto,1
4,A12FWV00JX3IUZ,beale,-18.6094237500211,28.73691189547,-13.8124470461084,Not-Pareto,0.962582233285428
5,A12FWV00JX3IUZ,beale,-2.75452182309314,6.94704684076446,-10.12647197177,Not-Pareto,0.991333874988175
6,A12FWV00JX3IUZ,beale,-49.4699835568436,26.7836544200272,-19.9623498680384,Not-Pareto,0.91461126254451
7,A12FWV00JX3IUZ,beale,-9.17227815881624,40.4534765843598,-17.804335526194,Not-Pareto,0.931444381025985
8,A12FWV00JX3IUZ,beale,-5.22211872230216,23.078105086311,-15.707299392212,Not-Pareto,0.947801852345235
